Region,Metric,Value,Year,YoY_Change_Percent,vs_2019_Percent
Europe,Total Passengers (Billion),2.5,2024,7.3,1.8
Europe,International Traffic Growth,N/A,2024,8.8,Positive
Europe,Domestic Traffic Growth,N/A,2024,2.5,-6.3
Middle East,Growth since 2019,N/A,2024,N/A,5.0
Africa,Total Capacity (Million Seats),24.2,2024-10,8.6,N/A
London Heathrow,Passengers (Million),83.9,2024,5.9,3.7
Istanbul,Passengers (Million),80.1,2024,N/A,N/A
Dubai International,Passengers (Million),92.3,2024,N/A,Record
Abu Dhabi,Passengers (Million),29,2024,N/A,Record
